昵称,id,学历,学校,学院,专业,经验,简介
庆鹏,5a01b6d29666ec572011cdf1,教师,广州大学,社会学系,Psychology,心理学博士，滋肾讲师。,"亲社会行为
文化心理学"
邹雅雯,5a011b5c107f8f4720236163,研究生,北京大学,心理与认知科学学院,,北京大学,
亓彦华,59ffc19b9666ec572011cd8e,学生,山东大学,医学院,Biological Sciences,医学生,就读于山东大学
吴峰松,59fd7447107f8f4720236125,教师,广州商学院,广州商学院,Business Administation / Management Science,广州商学院教师,
晨晓晨晨,59fd2118107f8f4720236121,学生,北京大学,心理与认知科学学院,Psychology,爱生活，爱心理,
Kingsley,59fd4b369666ec572011cd7e,学生,中山大学,管理学院,Business Administation / Management Science,,
Cassie,59fd4c249666ec572011cd7f,博士生,哈尔滨工业大学,管理学院,Business Administation / Management Science,,
梁昊,59fc8bc8107f8f472023611c,博士生,武汉大学,经济与管理学院,Business Administation / Management Science,武汉大学人力资源管理博士生,
李狗嗨,59fc5fb1107f8f4720236117,学生,湖南大学,法学院,Social Sciences,MAN ARE BRON FREE,
Kathy,59fba726107f8f47202360ea,教授,建大,管理学院,Arts and Literature,经济管理,略
Zhenyu Zhang,59f9fb649666ec572011cd46,undergraduate,University of Macau,Faculty of Social science,Economics,"My research interest is mainly about Chinese International security issues and domestically, Chinese policemen.  I've conduct some field research on it.",
Ryan Qinyu Wang,59f99b67107f8f472023604e,PhD,The University of Hong Kong,,Business Administation / Management Science,,
金虹虹,59f9989d9666ec572011cd2d,学生,厦门大学,管理学院,Business Administation / Management Science,做个灵魂有香气的女子,
汪沁雨,59f992619666ec572011cd26,PhD,The University of Hong Kong,Faculty of Business and Economics,Business Administation / Management Science,PhD in Strategic Management & Entrepreneurship @ HKU,
Jean,59f9758d107f8f4720236043,学生,北京林业大学,人文社会科学学院,Psychology,,
psyche,59f949509666ec572011cd1e,管理心理学硕士,苏州大学,教育学院,Psychology,,
周志方,59f7ec97107f8f472023601c,副教授,中南大学,商学院,Business Administation / Management Science,资源环境与生态会计、循环经济价值流分析研究,
小诺,59f75a8e9666ec572011ccff,学生,四川师范大学,经济与管理学院,Economics / Finance,经济学小白,对理论经济学备感兴趣，并且正在前行在理论经济学研究的道路上
木青,59f72e7b107f8f4720236016,学生,中国某高校,历史,Physics,热爱思考,
斯特凡,59f6e778107f8f4720235ff3,学生,西安电子科技大学,经济与管理学院,Business Administation / Management Science,,
xiafei,59f6de6d107f8f4720235ff0,博士生,中南财经政法,工商管理学院,Social Sciences,喜爱营销的学术小白,自己摸索，现在跟着导师从头开始一个新领域。
Vincent HU,59f6bfeb9666ec572011cce9,博士,City University of Hong Kong,Information System,,I am a year-1 PhD candidate in Information System.,
林迪芬,59f68fd1107f8f4720235ef3,博士生,厦门大学,公共事务学院,Social Sciences,厦门大学公共事务学院博士生,
反求诸己,59f449e2a41c44fe3669a63f,学生,安徽财经大学,经济学院,Economics / Finance,对历史、经济、哲学感兴趣的菜鸟,
yanxin,59f49806c13766de3613bb70,博士,四川大学,经济学院,Economics / Finance,lalla,
victor,59f40a3fc13766de3613bb68,研究生,四川大学,生物治疗国家重点实验室,Biological Sciences,,
Elf,59f33743c13766de3613bb65,硕士,湖南师范大学,教育科学学院,Psychology,enchanting HCC```,
吕兆霞,59f2fc85a41c44fe3669a639,ilabmarket,ilabmarket,ilabmarket,Physics,微纳米领域科研，爱实验耗材商城,
谷尚,59f2ee49c13766de3613bb64,硕士生 康复医学 作业治疗,四川大学 Curtin Uni,Curtin Uni,Medicine,,
广隶,59f1c1cac13766de3613bae2,学术,清华大学,社会科学学院经济学研究所,Economics,,
张佳佳,59f1464da41c44fe3669a5d5,学生,大连理工大学,管理与经济学部,Business Administation / Management Science,乐观， 开朗，学术研究者,目前是初步研究者，没有相关论文
mmmyu,59f08b75a41c44fe3669a5b3,学生,北师大,协同中心,Psychology,,
Shijie,59f059fac13766de3613babb,博士生,华侨大学,,,PhD. Candidate in Marketing,
宋名琪,59efeb36a41c44fe3669a595,学生,中国传媒大学,经管学部,Social Sciences,,
大笑,59ef0f01b2cdd8d27126abb7,博士,湖南大学,工商管理学院,Education,好好学习，天天向上,
张逸恒,59eef5f8f94d3cb37078087b,学生,武汉大学,经济与管理学院,Economics / Finance,,
ERIC,59eeea97f94d3cb370780879,学生,暨南大学,管理学院,Business Administation / Management Science,男生因为孤独而优秀。,
mingxuan-Young,59eeadf4f94d3cb37078086e,学生,内蒙古大学,经济管理学院,Business Administation / Management Science,,
米酒,59ee9d5fb2cdd8d27126aba9,博士生,中科大,管理学院,Social Sciences,可爱而已，不值一提,
Anne,59ee9038f94d3cb370780868,研究生,西南交通大学,经管,Economics / Finance,学生党,
bella ,59ee8a22b2cdd8d27126aba1,博士生,湖南大学,工商管理学院,Economics / Finance,市场营销在读博士生,
Joy,59ed8dc690bae3ea200c5ea1,学生,南开大学,法学院,Law,,
Rose He,59ed3db790bae3ea200c5e92,学生,南开大学,南开大学商学院,Business Administation / Management Science,,
Amber Hu,59ecc304ba4d31e45b19abcb,硕士,华西口腔医学院,正畸科,Medicine,牙医,
Allen,59ecb464ba4d31e45b19abca,学生,西南财经大学,工商管理学院,Business Administation / Management Science,,
orange,59ec657eba4d31e45b19abc4,博士,中南大学,商学院,Economics,,
赵桂明,59ec0a30ba4d31e45b19abc1,企业职员,外企,安全,Environmental Sciences,安全工作者,无
啵啵鸡一号,59eb349eba4d31e45b19abbd,学生,湖北中医药大学,应用心理学,Psychology,风一样的女子,
浣花涤微尘,59eb33dbba4d31e45b19abbc,学生,湖北中医药大学,人文学院,Psychology,洗剑濯虚名，浣花涤微尘。银碗盛皓雪，屋后腌萝卜。,毕业论文
爆谷儿,59eaffcd90bae3ea200c5df1,硕士,中山大学,管院,Business Administation / Management Science,,
Ming,59e9f547ba4d31e45b19abb6,硕士研究生,电子科技大学,政治与公共管理学院,Psychology,,
阿明明哒,59e9d33a90bae3ea200c5dec,副教授,河北工业大学,经济管理,Business Administation / Management Science,阿明不明白,信息系统
搏击长空,59e99b94ba4d31e45b19ab92,博士,武汉大学,经济与管理学院,Business Administation / Management Science,武汉大学,
hongsong,59e95f63ba4d31e45b19ab63,学生,安徽工业大学,材料科学与工程专业,Materials Science,材料科学与工程-金属材料-研究方向汽车用钢,
Sidney Chen,59e8a4e890bae3ea200c5de2,博士生,北京大學,信管系,Business Administation / Management Science,,
肖航,59e8976f90bae3ea200c5de0,博士生,北京航空航天大学,能源与动力工程学院,Engineering,在读博士，研究领域为航空航天气体动力学，希望加入唧唧堂认识更多科研达人，相互交流学习！,
铸剑,59e898f690bae3ea200c5de1,研究生,湖南师范大学,教育科学学院,Psychology,一个新晋的研究僧,无
云端之于尘埃,59e77f61ba4d31e45b19ab53,学生,福建师范大学,心理学院,,求知的流浪者，愿找到心之所依，追逐人生的意义,
Sunny大石头,59e7331b90bae3ea200c5dcd,学生,云南大学,商旅学院,Business Administation / Management Science,,
胡欣璐,59e7140390bae3ea200c5dc2,学生,浙江大学,管院,Business Administation / Management Science,,
Fuguo Zhang,59e704a4ba4d31e45b19ab47,教师,江西财经大学,信息学院,Computer and Information Science,Assistant Professor,
小敏,59e6f4e090bae3ea200c5dbe,学生,天津师范大学,教育科学学院,Psychology,研究生一枚,
刺,59e69fd190bae3ea200c5da3,研究生,山东大学,管理学院,Business Administation / Management Science,,
Phyllis Wang,59e6379fba4d31e45b19ab19,硕士研究生,上海师范大学,旅游学院人文地理学,Social Sciences,混吃喝等死，学人文地理的,
LUO Xiangyu,59e5d1a9ba4d31e45b19ab10,博士生,清华大学,地球系统科学系,Earth Sciences,"Tsinghua University, Ph.D. Candidate, Urban Ecology",
熊大琳,59e5788490bae3ea200c5d7b,学生,湖南师范大学,教育科学学院,Psychology,心理学系一枚小白 要努力看文献学习,湖南师范大学心理学系应用心理专业研一的新生 ，目前努力看文献，寻找自己感兴趣的方向。
赵健,59e48b99ba4d31e45b19aaee,学生,济南大学,教育与心理科学学院,Psychology,,
Ruby,59e45f1eba4d31e45b19aae5,  学生,对外经济贸易大学,信息学院,,,
张小盒,59e44549ba4d31e45b19aae0,研究生小白,,同济大学经管学院,Business Administation / Management Science,,
嘿嘿,59e37f6490bae3ea200c5d59,学生,西南财经大学,财税学院,Economics / Finance,我很快乐,
Gavin,59e378f690bae3ea200c5d57,博士生,延世大学,商学院,Business Administation / Management Science,苦行僧,
rob,59e3147590bae3ea200c5d47,学生,江苏大学,工商管理学院,Business Administation / Management Science,进步青年,
沈博,59e2fdc890bae3ea200c5d41,博士后,中科院理化技术研究所,,Materials Science,混饭吃的博士,
Gao Qi,59e255a7ba4d31e45b19aac2,本科生,西南大学,生物技术学院,Biological Sciences,西南大学本科生，生物技术学生，但对教育学以及创新性思维有着强烈的兴趣，男，男，男，重要的事情说三遍！,新生，研究经历无，目前致力研究于对未来教育的探索
王奇琪,59e23a4d90bae3ea200c5d3e,学生,复旦大学,管理学院,Social Sciences,消费研究,
郑诗洁,59e1c3b3ba4d31e45b19aabc,博士,中国石油大学 北京,化学工程学院,Chemistry,A chinese girl who loves reading and writing.,
夏青,59e0d839ec6d1dd62020ecf0,学生,华中科技大学,化学,Chemistry,,
姜艺,59e0b4ec90bae3ea200c5d27,博士生,华中农业大学,经济管理学院,Business Administation / Management Science,,
徐劲梁,59e08840ec6d1dd62020ecd8,学生,武汉大学,经济与管理学院,Economics / Finance,经济学学生,
康宝,59e0635990bae3ea200c5d20,讲师,南昌大学,经济管理学院,Business Administation / Management Science,大学老师一枚。正直青椒阶段。,
希曼,59df68ceec6d1dd62020ecd2,博士生,江苏科技大学,经济管理学院,Business Administation / Management Science,,
张园美,59df5dbcec6d1dd62020ecc4,学生,南昌大学,经济管理学院,Economics / Finance,学生一枚,
ds学术,59df8a1190bae3ea200c5d19,学生,天津工业大学,管理学院,Business Administation / Management Science,,
JENNY KONG,59df4c0dec6d1dd62020ecc0,PHD, UNIVERSITY,DEPARTMENT OF MARKETING,Psychology,,
郭小鸾,59df1e3990bae3ea200c5d04,在读研究生,北京师范大学,心理学部,Psychology,临床与咨询心理研究僧,
Sui Xiao-Yang,59df018690bae3ea200c5d02,本科生,南开大学,社会心理学系,Psychology,,
maggie,59dee43390bae3ea200c5cfe,副教授,,心理咨询中心,Psychology,I am a teacher,
张笛,59dee60790bae3ea200c5cff,研究生,华中科技大学管理学院,管理学院,Computer and Information Science,管理科学与工程,
咸鱼过大江,59de050190bae3ea200c5cf2,硕士,华中科技大学,管理学院,Business Administation / Management Science,,
何雪,59ddfc13ec6d1dd62020ec96,学生,上海理工大学,管理学院,Economics / Finance,阳光，沙滩，海浪，仙人掌，还有一位老船长……,
王晓明,59ddcead90bae3ea200c5ceb,学生,中科院,心理研究所,Psychology,中科院心理所行为决策课题组，心理学后生,研究生在读
匡仪,59ddbf5690bae3ea200c5cea,研究生,宁波大学,心理学系暨研究所,Psychology,做点与心理学有关的事~,"（1）关于群际关系的研究
我们考察了城市儿童和农村儿童之间的群际交往和融合问题，结果发现，相较于城市儿童，农村儿童在自我评价受欢迎程度上水平更低，更愿意与农村儿童合作组队，对内群体表现出更多亲社会行为；另一方面，城市儿童也表示出更愿意与农村儿童合作组队，但是对外群体（农村儿童）表现出更多的亲社会行为。换言之，12岁左右的儿童已经意识到了社会身份（农村孩子vs.城市孩子）带给他们社会地位的差异，进而会影响其行为表现。（详细内容见，Kuang, Y., Wang, F., & Wang, Z-J. (under revision). The Effect of Social Status on Children’s Social Interaction: A Study on China’s Dual Urban-Rural Structure. Group Processes & Intergroup Relations.）
（2）为群体决策和为个体决策的差异
我们考察了为群体决策和为个体决策的差异，并探讨了这种差异的产生机制。我们发现，由于责任感的作用，为群体决策比为个体决策更保守。（详细内容见，Wang, Z-J., Kuang, Y., Tang, H-Y., Gao, C., Chen, A., & Chan, K-Q. * (In press). Are Decisions Made by Group Representatives More Risk Averse? The Effect of Sense of Responsibility. Journal of Behavioral Decision Making.）
（3）关于群体情绪的研究
我的研究内容主要在探讨群体情绪放大效应的产生机制。我们课题组前期研究发现，当个体在群体情境中与他人共享情绪事件时，个体情绪会增强，我们命名为群体情绪放大效应。在此基础上，我们提出“评估—证实—放大”模型来解释预测群体情绪的放大效应，该研究主要是对该理论模型进行检验（详细内容见，匡仪.（2017）.群体共享情绪放大效应的机制：“评估-证实-放大”模型（硕士学位论文）. 宁波大学）"
vana,59ddcb2dec6d1dd62020ec8b,学生,国立台北大学,商学院,Business Administation / Management Science,,
果珍,59dd936d90bae3ea200c5cb9,博士生,中南大学,商学院,Economics,中南大学 管理学 博士生,
Benjaamin,59dc530f90bae3ea200c5cae,硕士生,北京交通大学,交通运输学院交通系统科学与工程研究院,Physics,,
程小文,59dc1c7390bae3ea200c5ca3,博士,安徽医科大学,第一临床医学院,Medicine,安徽医科大学在读博士，脑功能,
xinya,59dc11d790bae3ea200c5ca1,兰州,兰州大学,管理学院,Psychology,社会心理学方向研究生,
宝来,59db914f90bae3ea200c5c7c,研究员,西南财经大学,华夏财商研究中心,Psychology,对应用心理学感兴趣的一枚大白,
Chinnie,59db5f3690bae3ea200c5bee,硕士生,中科院,经管学院,Economics / Finance,,
管窥龟行,59db23d8ec6d1dd62020ebae,企业管理人员,北京大学,,Philosophy,管理学爱好者，从业者。,
Becky.Mao,59dad6c937fbbb0029e75027,博士生,西南财经大学,工商管理学院,Business Administation / Management Science,,
林传学,59d9796569defaa029ab8980,硕士研究生,浙江大学,公共管理学院,Social Sciences,,
爪黄飞电,59d99ee569defaa029ab8981,医生,天津医科大学总医院,骨科,,惹不起,
任佳,59d918b369defaa029ab897e,学生,广西大学天体物理中心,,Astronomy / Astrophysics / Space Science,天体物理研究生在读,学习中
曲亦歌,59d7dee669defaa029ab897b,master,PSU,International Affairs,Social Sciences, ,
刘荻帆,59d79ebe37fbbb0029e75013,学生,清华大学,电机工程与应用电子技术系,Electrical and Electronic Engineering,to be an ele engineer,
ShirWong,59d7609737fbbb0029e75000,PhD student,National University of Singapore,Accounting,Economics / Finance,Accounting PhD Student,
杨,59d7406d37fbbb0029e74ffe,研究生,中国人民大学,商学院,Business Administation / Management Science,,
Bin He,59d71b4a69defaa029ab8947,博士,南京晓庄学院,体育学院,Business Administation / Management Science,高校教师，研究方向为体育产业发展,主持省部级以上课题5项
爱科研爱学习,59d6ec6569defaa029ab8940,学生,中国人民大学,,Business Administation / Management Science,,
高齐,59d634c637fbbb0029e74fe8,学生,南开大学,心理学系,Psychology,,
赖,59d5f4b969defaa029ab892b,研究生,中南大学,商学院,Economics / Finance,,
李媚琦,59d5f51c37fbbb0029e74fe3,本科生,重庆师范大学,教育科学院应用心理系,Education,重庆师范大学应用心理系,
Eileen,59d5efe469defaa029ab892a,学生,广州中医药大学,第一临床医学院,Medicine,a beginner in scientific research,现在刚开始接触
戴维（David）,59d5e8f037fbbb0029e74fe2,学生,北京大学,,Economics,北京大学经济学预科博士生 phd candidate ,
崮国雾都,59d5aceb37fbbb0029e74fe1,学生,湖南商学院,财政金融学院,Social Sciences,兴趣广泛，尤其对数学情有独钟。,
liuzhenhui,59d43b35507e34414f8d1dbd,博士生,内蒙古师范大学,教育科学学院,Psychology,,
西兰花,59d39752507e34414f8d1d81,学生,德国包豪斯大学,造型学院,Design,读书读傻,
周红,59d1a6b7d961dd8c1ecc57d0,教授,中山大学,国际商学院,Business Administation / Management Science,又专又红,
杨鑫,59d02b38507e34414f8d1d61,学生,广东医科大学,人文与管理学院,Biological Sciences,一个大学生,看过几本书
谢思,59cfa8e7507e34414f8d1d60,学生,重庆大学,公共管理学院,Humanities,人力资源,
胡原,59cf5ce0507e34414f8d1d5e,学生,四川农业大学,西南减贫与发展研究中心,Economics,,
E.M.T,59cf4fa9d961dd8c1ecc55a1,学生,PKU,"Department of Applied Economics, Guanghua School of Management ",Economics,间歇性重度二次元幻想症患者⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄,
冬季带来失落,59ce0583507e34414f8d1d4e,学生,浙江大学,能源,Engineering,浙江大学小蠢蛋一个，我也要变大角虫！！！,还没有-。-
Sun Bai,59ce04b5d961dd8c1ecc5593,硕士,西北师范大学,心理学院,Psychology,天马行空，胡思乱想,
雒姌,59ce04a7507e34414f8d1d4d,研究生,西北师范大学,心理学院,Psychology,,
牛煜皓,59cce1cdd961dd8c1ecc555e,学生,中央财经大学,会计学院,Economics / Finance,"爱科研
研究方向：公司财务",
Panda,59cb19fbd961dd8c1ecc5539,博士生,华中科技大学,管理学院,Business Administation / Management Science,磕盐呀~,
Stephen Chen,59cb2ea2507e34414f8d1d1d,学生,华中科技大学,教育科学研究院,Psychology,心理学硕士生,
哈哈张,59cb2f87d961dd8c1ecc553e,学生,同济大学,,Computer and Information Science,梦想很多，也在勤奋努力，逐渐找到自我，拥抱世界的妹子。,
Fay,59cb1bc0d961dd8c1ecc553a,研究生,华中科技大学,教育科学研究院,Psychology,"研究生 发展与教育心理学专业
E-mail：fay_psych@foxmail.com",
程英,59cadf6cd961dd8c1ecc5531,教师,九江学院,电子学院,Electrical and Electronic Engineering,喜欢手作，喜欢木艺，喜欢小说,
Hui-Hui Feng,59ca7a51d961dd8c1ecc552b,学生,上海大学,管理学院,Computer and Information Science,上海大学硕士研究生，信息系统专业。,
wenzi,59ca50dad961dd8c1ecc5519,研究生,四川师范大学,教师教育与心理学院,Psychology,蚊子是只虫虫,
Erica Ye,59ca1fbbd961dd8c1ecc5516,硕士研究生,吉林大学,管理学院,Business Administation / Management Science,MIS Master / JLU,
泡泡心理,59c9f736d961dd8c1ecc5515,教授,苏州大学,教育学院、教育科学研究院,Psychology,苏州大学段锦云教授团队微信号。坚持原创、坚持公益，追求科学、营养和趣味，分享交流生活中的心理学知识。,
刘娜,59c9e6d1507e34414f8d1ce5,学生,天津大学,管理与经济学部,Business Administation / Management Science,天津大学管理科学与工程专业博士研究生,
虾米,59c9bb03507e34414f8d1cd0,运营总监,希嘉教育科技,数据超市,Arts and Literature,希嘉数据超市运营总监，用大数据云计算进行第四范式科学研究,
maggie,59c9a678507e34414f8d1cce,Ph.D,中科院,,Sports and Recreation, Ph.D    I'm very interested in psychology and behavior analysis.,"I have got Ph.D, now I am doing research as post-doc fellow."
佳大猪猪,59c86a6f507e34414f8d1caa,副教授,复合材料 双金属,,Materials Science,材料 博士,
囍姐儿,59c67138507e34414f8d1c80,研发专员,张怡筠情商工作室,研发部,Psychology,科普最新鲜有趣的心理学研究~,"风险决策
进化心理学择偶方面"
潘小青,59c4b6c1d961dd8c1ecc5422,讲师,嘉庚学院,会计与金融学院,Economics / Finance,老师哈,
王树森,59c4b688d961dd8c1ecc5421,硕士,社科院,社科院研究生院,Economics,只想好好学习经济学,
楠楠,59c4b618d961dd8c1ecc5420,硕士,青岛大学,青岛大学商学院,Business Administation / Management Science,,
Zurich,59c39343507e34414f8d1bad,学生,暨南大学,暨南大学管理学院,Business Administation / Management Science,"Studying Marketing and consumer research,interested in brand communication.",
常梦婷,59c361b3507e34414f8d1ba8,硕士,大连理工大学,信息管理与电子政务,,研究生学术狗,
BINBINSUOSUO,59c2139fd961dd8c1ecc5378,博士生,中国财政科学研究院,财务与会计研究中心,Business Administation / Management Science,博士在读,
完毕先生,59c208f1d961dd8c1ecc5374,硕士,出版社,中文编辑部,Arts and Literature,兰州大学 文学硕士 ,
李贤,59c1e835507e34414f8d1b69,学生,中南财经政法大学,工商学院,Business Administation / Management Science,硕士研究生,
呼啦啦,59c1d10f507e34414f8d1b66,博士生,重庆大学,经管学院,Business Administation / Management Science,Maybe ,
田雨鑫,59c11169d961dd8c1ecc5356,硕士研究生,东北大学,工商管理学院,Business Administation / Management Science,东北大学，管理科学与工程，研究生。2017级。,刚刚入学，自学机器学习，尚未发表论文。
Nicole,59c0b9e1d961dd8c1ecc5309,学生,浙江大学,管理学院,Business Administation / Management Science,student,
Xi(Kevin)KANG,59c0d061507e34414f8d1b2e,硕博生,复旦大学,管理学院,Economics / Finance,"Major in Accounting
MPhil-PhD Program, School of Management, Fudan University",
蔡瑞林,59c0b197d961dd8c1ecc5302,教授,常州轻工职业技术学院,经贸管理系,Business Administation / Management Science,一个小教师啦,博士，教授
Xudong Li,59c08cc1507e34414f8d1b17,博士生,武汉大学，中国水科院,,Environmental Sciences,工科博士研究生,硕士至博士期间，分别涉及水资源配置、河道生态环境需水、干旱、土壤水动力学模拟等方面的研究。
刘若谷,59c07f78d961dd8c1ecc52f7,助教，科研助理,加拿大滑铁卢大学,经济学院,Economics / Finance,兴趣方向：水源经济，经济金融，投资组合优化，运筹学，数理经济学，平等就业，社会福利与效用理论,"Index Funds Efficiency Analysis in the Asymmetric Information Financial Market

Monte Carlo Methods on Testing the ability of Underlying Nasdaq 100 Portfolio to Outrun the Market "
小红妖怪,59bfe502507e34414f8d1b13,学生,中央财经大学,经济学院,,天真勤勉，长情守物,
SOG,59bf4ddc507e34414f8d1aec,硕士,陕西师范大学,商学院,Economics,,
胡mm,59bf38c0507e34414f8d1aeb,博士,长沙理工大学,经管学院,Economics / Finance,知识搬运工,实验经济，区域经济，中国城市化问题
曹晓晓,59bf18aad961dd8c1ecc52b2,博士,首都经贸大学,工商管理学院,Business Administation / Management Science,首都经贸大学在读博士，公司治理方向,
颂齐梁陈心理小生,59be2281507e34414f8d1a85,学生,,心理系,Psychology,心理学小生,
九尾楠楠,59be6d4d507e34414f8d1ae4,硕士,西安电子科技大学,经济与管理学院,Economics,,
鲜橙多,59be29fc507e34414f8d1aa6,教师,中国石油大学（华东）,,Business Administation / Management Science,,
阿毛,59bde801d961dd8c1ecc525f,博士生,北京大学,心理与认知科学学院,Psychology,心理学博士生在读，研究兴趣-网络行为，大数据，未来情景假设，奢侈品关注，文化心理学,
Juju,59bdddf9507e34414f8d1a40,研究生,四川师范大学,心理学院,Psychology,心理学小白一枚,
Terry YU,59bddb4f507e34414f8d1a3f,senior student,BIT,physics,Physics,,
霍童鞋,59bd7e6cd961dd8c1ecc525e,博士生,中山大学,粤港澳发展研究院,Social Sciences,政治学（中国政治）博士研究生，关注选举政治和港澳台政治,
章玲玲,59bd13e8d961dd8c1ecc524d,硕士研究生,安徽师范大学,教育科学学院,Psychology,水瓶座，性格文静，喜欢阅读和旅行。动若脱兔，静如处子。研究方向为心理测量与学校心理测评。,本科和硕士皆为应用心理学，现为安徽师范大学的应用心理学在读硕士，研究方向为心理测量与学校心理测评。入学以来，积极参与各种学术实践活动，申请了研究生暑假社会实践“改变思维倾向”项目，将所学心理学知识积极运用实践。英语已过大学英语六级，能熟练使用英语阅读和写作。硕士研究生在读期间曾大量阅读英文论著，并且加入唧唧堂进行论文解析工作，从事翻译和介绍外国文献工作。同时，掌握了SPSS等统计分析技术、E-prime实验设计技术和NoteExpress等软件，具有很强的科研能力和较强的分析能力。 我个性内敛，做事沉稳，能针对事物重点，作深入的剖析。能够针对现象分析事物的内在本质，有严密的逻辑推理能力，工作出色，组织能力强，能够解决科研工作中一般的常见问题。
介尔,59bcd94d507e34414f8d196a,研究生,武汉体育学院研究生院,武汉体育学院研究生院,Psychology,哟哟哟 心理学小菜鸟 ,嗯 除了一篇本科毕业论文，好像也没啥大的研究成就
Helen1109,59bcd503d961dd8c1ecc51c3,教育者,东师,心理学院,Psychology,心理学爱好者,
方世豪,59bc9ba3d961dd8c1ecc51ba,,,,,北京大学 光华管理学院 投行,
胡,59bba7ad507e34414f8d192e,工程师,WEG公司,研发,Chemistry,理工男，爱科学，爱思考，爱生活……,
serena,59ba9ee5507e34414f8d189f,硕士生,内蒙古大学,经管学院,Economics / Finance,,
Catherine Huang,59ba1227d961dd8c1ecc510c,学生,上海平和双语学校,IBDP学部,Psychology,,
小静子,59b9e156507e34414f8d17ca,Ph.d,BUPT,Economics&Management school,Business Administation / Management Science,,
东酱,59b9d512507e34414f8d17c4,学生,北京大学, 心理与认知科学学院,Psychology,心理学在读小硕一枚～,
双儿,59b935e8507e34414f8d17b0,学生,河北金融学院,经济贸易学院,Economics / Finance,do myself,000
Fifi Liao,59b93018507e34414f8d17a4,Ph.D. student,University,School of Finance and Statistics,Economics / Finance,Ph.D. student in applied economics. ,A Ph.D. student. Research in monetary policy and bank regulation. 
张琨,59b7eebb507e34414f8d178b,副教授,河北经贸大学,商学院,Economics / Finance,河北经贸大学 教师,
笑厮雷,59b888a0d961dd8c1ecc508f,学生,江苏科技大学,经济管理学院,Computer and Information Science,,
马高翔,59b7abc8507e34414f8d1785,助教,西北师范大学知行学院,心理健康教育与咨询中心,Psychology,毕业于陕西师范大学心理学院小硕一枚，现就职于西北师范大学知行学院,
heqinan,59b74b6a507e34414f8d1728,研究生,哈工大,经济,Economics,请问请问,请问
彭博,59b65d3cd961dd8c1ecc4fe6,博士,西南交通大学,经济管理学院,,is专业 西南交通大学 博士,精通java程序设计
孙家林,59b65c60d961dd8c1ecc4fe4,学生,山东大学,山东大学数学与统计学院,Economics / Finance,山大本科生,
FacelessNoOne,59b6054b507e34414f8d16a6,学生,复旦大学,心理系,Psychology,A graduate student majoring in Psychology.,
菜仙菜,59b4f568d961dd8c1ecc4fa5,学生,东北财经大学,工商管理学院,Business Administation / Management Science,,
王宣艺,59b4ec1f507e34414f8d168e,本科生,复旦大学,经济系,Economics,,
王晶,59b11502d961dd8c1ecc4ed9,研究生,吉林大学,管理学院,Social Sciences,吉林大学 技术经济及管理 研究生,初学者
王加迎,59b0e13c507e34414f8d161a,博士生,哈尔滨商业大学,计算机学院,Business Administation / Management Science,,
ArthurLau,59afa961507e34414f8d160f,学生,云南师范大学,教管学院,Psychology,一名从火星来的烟酒僧,没怎么认真做过研究耶
张彦波,59adff34507e34414f8d157c,博士生,中国矿业大学,公共管理学院,Social Sciences,中国矿业大学公共管理学院行政管理博士在读,
木鱼,59acede0d961dd8c1ecc4d73,学生,四川师范大学,经管学院,Business Administation / Management Science,爱笑,。。。
张皓,59aace1fd961dd8c1ecc4d68,博士生,武汉大学,经济与管理学院,Business Administation / Management Science,武大市场营销,刚刚开始
邬雨坷,59aa654a0449e457796da2f1,本科生,清华大学,心理学系,Psychology,清华心理学系,
月亮花,59a78302d961dd8c1ecc4c87,学生,华东师范,山东师范大学,,,
韩颖,59a6cc6f0449e457796da18b,博士生,西安交通大学,管理学院,Social Sciences,,
Wang Qi,59a61b3ad961dd8c1ecc4b93,教师,北京邮电大学,经济管理学院,Psychology,北京邮电大学，行为决策,
茝地,59a56ab50449e457796da170,学生,山东师范大学,心理学院,Psychology,山师|应用心理学,
刻盲,59a55982d961dd8c1ecc4b8c,学生,哈尔滨工程大学,信息与通信工程学院,Computer and Information Science,"喜欢心理学的理工男
想分析数据的电路员",
等一v分钟,59a52ea10449e457796da16b,科研助理,北京师范大学,心理学院,Psychology,8年的心理学学习生涯，未来还将继续......,参与三项国家级课题
青青,59a518670449e457796da168,硕士生,浙江财经大学,工商管理学院绿色营销研究小组,Business Administation / Management Science,"学校：浙江财经大学
年级：2015级硕士研究生
研究方向：企业管理
性别：女
性格：有一颗做学术的赤心，想把学术生涯继续下去，唧唧堂忠粉～",
Xiao (Lucy) Liang,59a5006f0449e457796da167,PhD Candidate,MQ & ZNUEL,,Business Administation / Management Science,PhD Candidate in Accounting,
applehuman,59a3a988d961dd8c1ecc4b75,教师,河工大,经管学院,Business Administation / Management Science,EC，OB,
Qipo Wang,599ec1c47efa32c12c494819,PhD student,Beijing Jiatong University,School of Economics and Management,Economics,PhD candidate at Beijing Jiaotong University,
Hai Huang,599bab747efa32c12c4947fe,博士生,南京航空航天大学,材料科学与技术学院,Physics,Radiation damage; Nuclear Materials,
设友公社,599905a7d961dd8c1ecc49ce,本科生,投行,物流运输,Business Administation / Management Science,,
闵海波,5997034e7efa32c12c4947b8,博士生,湖南农业大学,经济学院,Economics,农经管理博士在读,主持教育厅项目一项，发表论文三篇
